project,primary_url,seo_use,backlink_action,case_study_angle,notes
pendlepods,https://pendlepods.co.uk,Portfolio proof and hospitality example,Confirm footer credit links to https://madereal.uk,Booking-focused local hospitality website,Already shown on MadeReal homepage
entwistlepaving,https://entwistlepaving.co.uk,Portfolio proof and trades example,Confirm footer credit links to https://madereal.uk,Driveway and paving website built for quote enquiries,Already shown on MadeReal homepage
tcjoinery,https://tcjoinerbuilder.co.uk,Portfolio proof and joinery example,Confirm footer credit links to https://madereal.uk,Joinery and building site for Colne/Pendle searches,Already shown on MadeReal homepage
hynelectrical,https://hynelectrical.co.uk,Portfolio proof and electrician example,Confirm footer credit links to https://madereal.uk,Electrician website built for service trust and calls,Already shown on MadeReal homepage
trustedroofrepairs,https://trustedroofrepairs.uk,Portfolio proof and roofing lead-gen example,Confirm footer credit links to https://madereal.uk,Roof repair lead page for urgent local searches,Already shown on MadeReal homepage
sprayrite,https://sprayrite.co.uk,Portfolio proof and home-improvement example,Confirm footer credit links to https://madereal.uk,uPVC spraying website for service-area demand,Already shown on MadeReal homepage
dust-be-gone,https://dust-be-gone.uk,Portfolio proof and cleaning example,Confirm footer credit links to https://madereal.uk,Commercial cleaning website for local enquiries,Already shown on MadeReal homepage
seamlessgutters,https://seamlessgutter.uk,Portfolio proof and guttering example,Confirm footer credit links to https://madereal.uk,Seamless guttering site with trade-specific intent,Already shown on MadeReal homepage
intricatelandscapes,https://intricatelandscapes.co.uk,Portfolio proof and landscaping example,Confirm footer credit links to https://madereal.uk,Landscaping website with service and location page structure,Good candidate for a local SEO case study
ocdsupreme,https://ocdsupreme.co.uk,Portfolio proof and premium service example,Confirm footer credit links to https://madereal.uk,Detailing/valeting site with town-specific pages,Good candidate for service-area page case study
drivewayvisualiser,https://drivewayvisualiser.co.uk,Software/product proof,Confirm footer credit links to https://madereal.uk,Interactive visualiser product built by MadeReal,Useful for showing capability beyond brochure sites
agentify-busienss,https://agentify-business.co.uk,Software/product proof,Confirm footer credit links to https://madereal.uk,AI/automation business tool,Registry slug is misspelled; keep unless deliberately renamed
floorboard,https://floorboard.uk,Software/product proof,Confirm footer credit links to https://madereal.uk,Flooring business app/product site,Good proof of app-style builds
colnedirectory,https://colnenearme.co.uk,Local entity proof,Confirm footer credit links to https://madereal.uk,Local Colne directory owned/built by MadeReal,Useful for local topical authority
chameleonspray,https://chameleonpaint.co.uk,Portfolio proof and spraying/paint example,Confirm footer credit links to https://madereal.uk,Paint/spraying service website,Potential service page proof
slateworx,https://slateworx.co.uk,Portfolio proof and roofing/trade example,Confirm footer credit links to https://madereal.uk,Slate/roofing trade site,Potential roofing vertical proof
nsplastering,https://nsplastering.co.uk,Portfolio proof and plastering example,Confirm footer credit links to https://madereal.uk,Plastering website for local trade enquiries,Potential tradesman websites proof
jackdawpi,https://jackdawinvestigations.co.uk,Portfolio proof and professional services example,Confirm footer credit links to https://madereal.uk,Private investigations website,Potential professional services proof
coachedcountdown,https://coachedltd.co.uk,Portfolio proof and coaching/business example,Confirm footer credit links to https://madereal.uk,Coaching or consultancy website,Needs source/status review before public use
imagerenamerai,https://imagerenamer.co.uk,Software/product proof,Confirm footer credit links to https://madereal.uk,AI image renaming tool,Needs source/status review before public use
timely-dolphin-ac741e,https://giftgenius.uk,Software/product proof,Confirm footer credit links to https://madereal.uk,Gift recommendation product,Consider renaming registry slug for clarity later
zeroeffortdownloads,https://zeroeffort.co.uk,Software/product proof,Confirm footer credit links to https://madereal.uk,Digital downloads/product site,Needs source/status review before public use
