cluster,page_type,primary_keyword,target_url,priority,status,proof_or_angle,internal_links_needed
Ownership,blog,website ownership,/blog/website-ownership-vs-monthly-rental.html,1,published,"Ownership checklist for small businesses comparing one-off builds and monthly rental","/get-started.html; /services/small-business-websites.html; /web-design-burnley.html"
Ownership,blog,monthly website rental,/blog/website-ownership-vs-monthly-rental.html,1,published,"Clarifies what happens if the buyer stops paying a monthly website provider","/blog/one-off-website-fee-vs-monthly-retainer.html; /get-started.html"
Trades + Location,service-location,tradesman websites burnley,/services/tradesman-websites-burnley.html,1,published,"Burnley trades buyer page with service examples, quote routes and local proof","/services/tradesman-websites.html; /web-design-burnley.html; /get-started.html"
Trades + Location,service-location,roofer websites burnley,/services/roofer-websites-burnley.html,1,published,"Roofing-specific Burnley page focused on urgent enquiries and trust","/services/tradesman-roofing.html; /web-design-burnley.html; /case-studies.html"
Trades + Location,service-location,electrician websites burnley,/services/electrician-websites-burnley.html,1,published,"Electrician-specific Burnley page focused on safety, qualifications and quote requests","/services/tradesman-electricians.html; /web-design-burnley.html; /get-started.html"
Trades + Location,service-location,tradesman websites colne,/services/tradesman-websites-colne.html,1,published,"Home-area trades page with local proof and no-call preview route","/services/tradesman-websites.html; /web-design-colne.html; /case-studies.html"
Hospitality + Location,service-location,restaurant websites skipton,/services/restaurant-websites-skipton.html,2,published,"Hospitality page for menus, bookings and opening times in Skipton/Craven","/services/hospitality-websites.html; /web-design-skipton.html; /get-started.html"
Hospitality + Location,service-location,cafe websites colne,/services/cafe-websites-colne.html,2,published,"Cafe page focused on menus, opening hours, photos and Google Business Profile traffic","/services/hospitality-websites.html; /web-design-colne.html; /blog/cafe-restaurant-website-guide.html"
Professional + Location,service-location,accountant websites lancashire,/services/accountant-websites-lancashire.html,2,published,"Professional services trust page for accountants, bookkeepers, payroll providers and tax advisors","/services/professional-services.html; /web-design-colne.html; /case-studies.html"
Professional + Location,service-location,consultant websites lancashire,/services/consultant-websites-lancashire.html,2,planned,"Authority-led page for consultants who need enquiries without looking generic","/services/professional-services.html; /get-started.html; /blog/professional-services-website-trust.html"
Local Expansion,location,web design accrington,/web-design-accrington.html,2,planned,"Nearby Lancashire town page only if MadeReal can serve and add unique local copy","/services/small-business-websites.html; /case-studies.html; /get-started.html"
Local Expansion,location,web design padiham,/web-design-padiham.html,2,planned,"Burnley-area page with Padiham-specific positioning and internal links","/web-design-burnley.html; /services/tradesman-websites.html; /get-started.html"
Local Expansion,location,web design ribble valley,/web-design-ribble-valley.html,2,planned,"Borough page supporting Clitheroe and professional-services searches","/web-design-clitheroe.html; /services/professional-services.html; /get-started.html"
Buyer Questions,blog,do I need a website if I have Facebook,/blog/website-vs-facebook-page.html,2,published,"Existing comparison guide for social-only businesses","/get-started.html; /services/small-business-websites.html"
Buyer Questions,blog,why am I not getting enquiries from my website,/blog/why-website-not-getting-enquiries.html,2,published,"Conversion troubleshooting page for local businesses with traffic but no leads","/blog/how-to-get-more-local-enquiries.html; /get-started.html; /case-studies.html"
Google Business Profile,blog,google business profile website clicks,/blog/turn-google-business-profile-visitors-into-enquiries.html,2,published,"Existing guide connecting GBP actions to website enquiry capture","/web-design-burnley.html; /get-started.html"
Proof,case-study,tradesman website example lancashire,/case-studies/tradesman-website-example-lancashire.html,2,planned,"Use only real approved work with screenshots and outcome notes","/case-studies.html; /services/tradesman-websites.html; /get-started.html"
Proof,case-study,roofing website example lancashire,/case-studies/roofing-website-example-lancashire.html,2,planned,"Use only real approved roofing work with screenshots and enquiry route","/case-studies.html; /services/tradesman-roofing.html; /get-started.html"
